,movie_id,average_sentiment
0,8,3.0
1,10,2.0
2,12,3.0
3,91,2.5
4,131,2.0
5,417,2.75
6,439,2.0
7,443,2.0
8,628,2.0
9,833,2.0
10,1223,4.0
11,1740,2.0
12,2101,1.0
13,2130,2.0
14,2354,2.0
15,2844,2.0
16,3740,2.0
17,3863,2.0
18,4099,2.0
19,4100,2.0
20,4101,2.0
21,4210,2.0
22,4395,2.0
23,4413,2.0
24,4457,2.0
25,4518,2.0
26,4546,2.0
27,4936,2.0
28,4972,4.0
29,5074,2.0
30,5078,2.0
31,5530,2.0
32,5571,2.0
33,5960,2.0
34,6177,2.0
35,6206,2.0
36,6333,3.0
37,6414,2.0
38,6684,2.0
39,6689,2.0
40,6864,2.0
41,7145,2.0
42,7162,2.0
43,7264,2.0
44,7340,2.0
45,7507,2.0
46,7832,2.0
47,7880,2.0
48,8133,2.0
49,8395,2.0
50,9018,2.0
51,9678,2.0
52,9893,2.0
53,9968,4.0
54,10180,2.0
55,10193,2.0
56,10247,2.0
57,10258,2.0
58,10323,1.0
59,10747,2.0
60,10806,2.0
61,10930,2.0
62,11130,3.5
63,11267,2.0
64,11439,3.0
65,11508,2.0
66,11541,2.0
67,11607,2.0
68,11656,2.0
69,11717,2.0
70,11841,2.0
71,11870,2.0
72,12278,2.0
73,12349,3.0
74,12364,2.0
75,12494,2.0
76,12532,2.0
77,12651,0.0
78,12675,1.0
79,12844,2.0
80,13025,2.0
81,13086,2.0
82,13099,2.0
83,13140,3.0
84,13257,2.0
85,13427,3.0
86,13442,3.5
87,13486,2.0
88,13571,2.0
89,13626,2.0
90,13741,2.0
91,13858,2.0
92,14142,3.0
93,14341,2.5
94,14417,2.0
95,14429,2.0
96,14497,2.0
97,14532,3.0
98,14538,2.0
99,14624,2.0
100,14664,2.0
101,14872,2.0
102,14972,2.0
103,15002,2.0
104,15016,2.0
105,15039,2.0
106,15064,2.0
107,15163,3.0
108,15174,2.0
109,15175,2.0
110,15202,3.0
111,15233,2.0
112,15310,2.0
113,15324,2.0
114,15361,2.0
115,15400,3.0
116,15477,2.0
117,15532,2.0
118,15624,3.0
119,15648,0.0
120,15673,2.0
121,15768,2.0
122,15864,2.0
123,15881,2.0
124,16039,3.0
125,16172,2.0
126,16220,3.0
127,16230,2.0
128,16332,2.0
129,16361,2.0
130,16544,2.0
131,16600,2.0
132,16654,3.0
133,16747,2.0
134,16847,2.0
135,16903,2.0
136,16954,2.0
137,17075,2.0
138,17136,3.5
139,17196,2.0
140,17350,2.0
141,17378,2.0
142,17423,2.0
143,17463,2.0
144,17729,2.0
145,17739,2.0
146,17765,2.0
147,17825,2.0
148,17836,2.0
149,17841,2.0
150,17843,2.0
151,17925,2.6666666666666665
152,18033,2.0
153,18037,3.0
154,18051,2.0
155,18106,2.0
156,18192,3.0
157,18217,2.0
158,18294,2.0
159,18328,2.0
160,18356,2.0
161,18368,2.0
162,18452,2.0
163,18455,3.0
164,18471,2.0
165,18505,2.0
166,18526,2.0
167,18528,2.0
168,18578,2.0
169,18583,2.0
170,18684,2.0
171,18737,3.0
172,18742,2.0
173,18773,3.0
174,18806,2.0
175,18839,3.0
176,18860,2.0
177,18876,2.0
178,18890,2.0
